# MLB 2026 schedule - all clubs, all game types
# source: https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2026-01-01&endDate=2026-12-31&gameType=R,E,S,D,L,F,W,A
# retrieved_utc: 2026-09-21T23:19:36Z
# raw_sha256: 5549e82f9610e42c91cb45db9db1b5b88347c0666561bbd526705e3af23c4b4a
# games: 2973 (columns: date_local|start_utc|start_pt|start_et|time_tbd|game_type|away|home|away_id|home_id|venue|status|game_pk)
# time_tbd=true means the league has not published a first pitch; date_local is still official.
2026-02-20|2026-02-20T18:05:00Z|10:05|13:05|false|S|New York Yankees|Baltimore Orioles|147|110|Ed Smith Stadium|Final|832034
2026-02-20|2026-02-20T18:05:00Z|10:05|13:05|false|E|Northeastern Huskies|Boston Red Sox|343|111|JetBlue Park|Final|832033
2026-02-20|2026-02-20T20:05:00Z|12:05|15:05|false|S|Chicago White Sox|Chicago Cubs|145|112|Sloan Park|Final|832042
2026-02-20|2026-02-20T20:05:00Z|12:05|15:05|false|S|Kansas City Royals|Texas Rangers|118|140|Surprise Stadium|Final|831829
2026-02-20|2026-02-20T20:10:00Z|12:10|15:10|false|S|Arizona Diamondbacks|Colorado Rockies|109|115|Salt River Fields at Talking Stick|Final|831959
2026-02-20|2026-02-20T20:10:00Z|12:10|15:10|false|S|San Diego Padres|Seattle Mariners|135|136|Peoria Stadium|Final|831764
2026-02-20|2026-02-20T23:05:00Z|15:05|18:05|false|E|Minnesota Golden Gophers|Minnesota Twins|4864|142|Lee Health Sports Complex|Completed Early|832043
2026-02-21|2026-02-21T18:05:00Z|10:05|13:05|false|S|Atlanta Braves|Tampa Bay Rays|144|139|Charlotte Sports Park|Final|831543
2026-02-21|2026-02-21T18:05:00Z|10:05|13:05|false|S|Boston Red Sox|Minnesota Twins|111|142|Lee Health Sports Complex|Final|831654
2026-02-21|2026-02-21T18:05:00Z|10:05|13:05|false|S|Detroit Tigers|New York Yankees|116|147|George M. Steinbrenner Field|Final|831655
2026-02-21|2026-02-21T18:05:00Z|10:05|13:05|false|S|Houston Astros|Washington Nationals|117|120|CACTI Park of the Palm Beaches|Final|831598
2026-02-21|2026-02-21T18:05:00Z|10:05|13:05|false|S|Pittsburgh Pirates|Baltimore Orioles|134|110|Ed Smith Stadium|Final|831544
2026-02-21|2026-02-21T18:05:00Z|10:05|13:05|false|S|Washington Nationals|St. Louis Cardinals|120|138|Roger Dean Chevrolet Stadium|Final|831494
2026-02-21|2026-02-21T18:07:00Z|10:07|13:07|false|S|Philadelphia Phillies|Toronto Blue Jays|143|141|TD Ballpark|Final|831542
2026-02-21|2026-02-21T18:10:00Z|10:10|13:10|false|S|Miami Marlins|New York Mets|146|121|Clover Park|Final|831497
2026-02-21|2026-02-21T20:05:00Z|12:05|15:05|false|S|Athletics|Chicago White Sox|133|145|Camelback Ranch|Final|831948
2026-02-21|2026-02-21T20:05:00Z|12:05|15:05|false|S|Cincinnati Reds|Cleveland Guardians|113|114|Goodyear Ballpark|Final|831900
2026-02-21|2026-02-21T20:05:00Z|12:05|15:05|false|S|San Diego Padres|Kansas City Royals|135|118|Surprise Stadium|Final|831775
2026-02-21|2026-02-21T20:05:00Z|12:05|15:05|false|S|Texas Rangers|Chicago Cubs|140|112|Sloan Park|Final|831732
2026-02-21|2026-02-21T20:10:00Z|12:10|15:10|false|S|Cleveland Guardians|Milwaukee Brewers|114|158|American Family Fields of Phoenix|Final|831878
