# MLB 2027 schedule - all clubs, all game types
# source: https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2027-01-01&endDate=2027-12-31&gameType=R,E,S,D,L,F,W,A
# retrieved_utc: 2026-09-24T17:54:16Z
# raw_sha256: 47400a178ff91701f9a79c369a6f757807a4b94eb128d470e0185c49e10806e6
# games: 2900 (columns: date_local|start_utc|start_pt|start_et|time_tbd|game_type|away|home|away_id|home_id|venue|status|game_pk)
# time_tbd=true means the league has not published a first pitch; date_local is still official.
2027-02-19||TBD|TBD|true|S|Arizona Diamondbacks|San Francisco Giants|109|137|Scottsdale Stadium|Scheduled|868338
2027-02-19||TBD|TBD|true|S|Atlanta Braves|Baltimore Orioles|144|110|Ed Smith Stadium|Scheduled|868576
2027-02-19||TBD|TBD|true|S|Chicago Cubs|Athletics|112|133|Hohokam Stadium|Scheduled|868345
2027-02-19||TBD|TBD|true|S|Chicago White Sox|Los Angeles Dodgers|145|119|Camelback Ranch|Scheduled|868340
2027-02-19||TBD|TBD|true|S|Cleveland Guardians|Cincinnati Reds|114|113|Goodyear Ballpark|Scheduled|868344
2027-02-19||TBD|TBD|true|S|Colorado Rockies|Arizona Diamondbacks|115|109|Salt River Fields at Talking Stick|Scheduled|868343
2027-02-19||TBD|TBD|true|S|Los Angeles Angels|Milwaukee Brewers|108|158|American Family Fields of Phoenix|Scheduled|868346
2027-02-19||TBD|TBD|true|S|Miami Marlins|New York Mets|146|121|Clover Park|Scheduled|868574
2027-02-19||TBD|TBD|true|S|New York Yankees|Toronto Blue Jays|147|141|TD Ballpark|Scheduled|868572
2027-02-19||TBD|TBD|true|E|Northeastern Huskies|Boston Red Sox|343|111|JetBlue Park|Scheduled|868575
2027-02-19||TBD|TBD|true|S|Philadelphia Phillies|Detroit Tigers|143|116|Publix Field at Joker Marchant Stadium|Scheduled|868569
2027-02-19||TBD|TBD|true|S|San Diego Padres|Seattle Mariners|135|136|Peoria Stadium|Scheduled|868342
2027-02-19||TBD|TBD|true|S|St. Louis Cardinals|Miami Marlins|138|146|Roger Dean Chevrolet Stadium|Scheduled|868566
2027-02-19||TBD|TBD|true|S|Tampa Bay Rays|Minnesota Twins|139|142|Lee Health Sports Complex|Scheduled|868570
